CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,NOMBRE_INSTITUCIÓN,CÓDIGO_SNIES_DEL_PROGRAMA,NOMBRE_DEL_PROGRAMA,CAMPO_AMPLIO,departamentoIE,MunicipioIE,Codigo EAFIT,NombrePrograma EAFIT,CAMPO_AMPLIO_EAFIT,label,departamentoEAFIT,MunicipioEAFIT,Unnamed: 14,Puntuación total calulada,Nivel de afinidad calculada,SIMILITUD_COSENO,NIVEL_AFINIDAD_CALIBRADO
1101.0,1101.0,universidad nacional de colombia,1,ingenieria agronomica,agropecuario silvicultura pesca y veterinaria,bogota d c,bogota d c,107709,ingenieria agronomica,agropecuario silvicultura pesca y veterinaria,1,antioquia,medellin,,2,bajo,0.99999994,ALTO
2713.0,2713.0,fundacion universitaria los libertadores,10009,administracion de empresas,administracion de empresas y derecho,risaralda,pereira,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.9486652,ALTO
1213.0,1213.0,universidad del magdalena unimagdalena,10022,administracion de empresas,administracion de empresas y derecho,magdalena,fundacion,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,1,bajo,0.9486652,ALTO
1301.0,1301.0,universidad distrital francisco jose de caldas,10036,ingenieria mecanica,ingenieria industria y construccion,bogota d c,bogota d c,1250,ingenieria mecanica,ingenieria industria y construccion,1,antioquia,medellin,,2,bajo,0.9999999,ALTO
2713.0,2713.0,fundacion universitaria los libertadores,10038,publicidad y mercadeo,arte y humanidades,quindio,armenia,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.643806,BAJO
1703.0,1703.0,universidad incca de colombia,10086,administracion de empresas,administracion de empresas y derecho,narino,ipiales,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
1218.0,1218.0,universidad de la guajira,10093,contaduria publica,administracion de empresas y derecho,la guajira,riohacha,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,1,alto,1.0000001,ALTO
1301.0,1301.0,universidad distrital francisco jose de caldas,10111,ingenieria civil,ingenieria industria y construccion,bogota d c,bogota d c,1247,ingenieria civil,ingenieria industria y construccion,1,antioquia,medellin,,2,bajo,1.0000002,ALTO
2719.0,2719.0,universidad catolica luis amigo,101292,negocios internacionales,administracion de empresas y derecho,caldas,manizales,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9999999,ALTO
2731.0,2731.0,fundacion universitaria catolica lumen gentium unicatolica cali,101300,administracion de empresas,administracion de empresas y derecho,valle del cauca,santiago de cali,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
9899.0,9899.0,institucion universitaria de colombia universitaria de colombia,101321,comunicacion social,ciencias sociales periodismo e informacion,bogota d c,bogota d c,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
2725.0,2725.0,politecnico grancolombiano,101332,psicologia,ciencias sociales periodismo e informacion,bogota d c,bogota d c,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999998,ALTO
2728.0,2728.0,fundacion universitaria del area andina,101347,psicologia,ciencias sociales periodismo e informacion,cesar,valledupar,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999999,ALTO
9104.0,9104.0,escuela militar de cadetes general jose maria cordova,101351,relaciones internacionales,ciencias sociales periodismo e informacion,bogota d c,bogota d c,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.77095497,MEDIO
2106.0,2106.0,direccion de educacion policial,101352,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,1.0000001,ALTO
1720.0,1720.0,universidad mariana,101366,profesional en mercadeo,administracion de empresas y derecho,narino,pasto,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.72820044,MEDIO
2725.0,2725.0,politecnico grancolombiano,101382,administracion de empresas,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
2725.0,2725.0,politecnico grancolombiano,101387,economia,ciencias sociales periodismo e informacion,bogota d c,bogota d c,3182,economia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
2810.0,2810.0,corporacion universidad de la costa cuc,101394,derecho,administracion de empresas y derecho,bolivar,cartagena de indias,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
9899.0,9899.0,institucion universitaria de colombia universitaria de colombia,101401,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
2745.0,2745.0,fundacion universitaria compensar,101408,profesional en finanzas y negocios internacionales,administracion de empresas y derecho,bogota d c,bogota d c,102816,finanzas,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.60875976,MUY BAJO
2745.0,2745.0,fundacion universitaria compensar,101411,profesional en mercadeo y publicidad,administracion de empresas y derecho,bogota d c,bogota d c,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.6031525,MUY BAJO
2745.0,2745.0,fundacion universitaria compensar,101415,administracion de empresas,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,101421,comunicacion social periodismo,ciencias sociales periodismo e informacion,valle del cauca,santiago de cali,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.7771944,MEDIO
2719.0,2719.0,universidad catolica luis amigo,101429,derecho,administracion de empresas y derecho,cordoba,monteria,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"1,6",bajo,1.0000001,ALTO
2719.0,2719.0,universidad catolica luis amigo,101430,derecho,administracion de empresas y derecho,caldas,manizales,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"1,6",bajo,1.0000001,ALTO
2719.0,2719.0,universidad catolica luis amigo,101431,ingenieria de sistemas,ingenieria industria y construccion,cordoba,monteria,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"1,6",bajo,1.0000001,ALTO
2719.0,2719.0,universidad catolica luis amigo,101432,psicologia,ciencias sociales periodismo e informacion,antioquia,apartado,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999998,ALTO
