CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,CÓDIGO_SNIES_DEL_PROGRAMA,NOMBRE_INSTITUCIÓN,NOMBRE_DEL_PROGRAMA,CAMPO_AMPLIO,departamentoIE,MunicipioIE,Codigo EAFIT,NombrePrograma EAFIT,CAMPO_AMPLIO_EAFIT,departamentoEAFIT,MunicipioEAFIT,Puntuación total calulada,Nivel de afinidad calculada
1101,1101,1,universidad nacional de colombia,ingenieria agronomica,agropecuario silvicultura pesca y veterinaria,bogota d c,bogota d c,107709,ingenieria agronomica,agropecuario silvicultura pesca y veterinaria,antioquia,medellin,2,bajo
2713,2713,10009,fundacion universitaria los libertadores,administracion de empresas,administracion de empresas y derecho,risaralda,pereira,1245,administracion de negocios,administracion de empresas y derecho,antioquia,medellin,3,medio
1213,1213,10022,universidad del magdalena unimagdalena,administracion de empresas,administracion de empresas y derecho,magdalena,fundacion,1245,administracion de negocios,administracion de empresas y derecho,antioquia,medellin,1,bajo
1301,1301,10036,universidad distrital francisco jose de caldas,ingenieria mecanica,ingenieria industria y construccion,bogota d c,bogota d c,1250,ingenieria mecanica,ingenieria industria y construccion,antioquia,medellin,2,bajo
2713,2713,10038,fundacion universitaria los libertadores,publicidad y mercadeo,arte y humanidades,quindio,armenia,90979,mercadeo,administracion de empresas y derecho,antioquia,medellin,2,bajo
1703,1703,10086,universidad incca de colombia,administracion de empresas,administracion de empresas y derecho,narino,ipiales,1245,administracion de negocios,administracion de empresas y derecho,antioquia,medellin,2,bajo
1218,1218,10093,universidad de la guajira,contaduria publica,administracion de empresas y derecho,la guajira,riohacha,1246,contaduria publica,administracion de empresas y derecho,antioquia,medellin,1,alto
1301,1301,10111,universidad distrital francisco jose de caldas,ingenieria civil,ingenieria industria y construccion,bogota d c,bogota d c,1247,ingenieria civil,ingenieria industria y construccion,antioquia,medellin,2,bajo
2719,2719,101292,universidad catolica luis amigo,negocios internacionales,administracion de empresas y derecho,caldas,manizales,1244,negocios internacionales,administracion de empresas y derecho,antioquia,medellin,2,bajo
2731,2731,101300,fundacion universitaria catolica lumen gentium unicatolica cali,administracion de empresas,administracion de empresas y derecho,valle del cauca,santiago de cali,1245,administracion de negocios,administracion de empresas y derecho,antioquia,medellin,2,bajo
9899,9899,101321,institucion universitaria de colombia universitaria de colombia,comunicacion social,ciencias sociales periodismo e informacion,bogota d c,bogota d c,17691,comunicacion social,ciencias sociales periodismo e informacion,antioquia,medellin,"2,2",bajo
2725,2725,101332,politecnico grancolombiano,psicologia,ciencias sociales periodismo e informacion,bogota d c,bogota d c,90978,psicologia,ciencias sociales periodismo e informacion,antioquia,medellin,"2,2",bajo
2728,2728,101347,fundacion universitaria del area andina,psicologia,ciencias sociales periodismo e informacion,cesar,valledupar,90978,psicologia,ciencias sociales periodismo e informacion,antioquia,medellin,"2,2",bajo
9104,9104,101351,escuela militar de cadetes general jose maria cordova,relaciones internacionales,ciencias sociales periodismo e informacion,bogota d c,bogota d c,1244,negocios internacionales,administracion de empresas y derecho,antioquia,medellin,2,bajo
2106,2106,101352,direccion de educacion policial,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,antioquia,medellin,2,bajo
1720,1720,101366,universidad mariana,profesional en mercadeo,administracion de empresas y derecho,narino,pasto,90979,mercadeo,administracion de empresas y derecho,antioquia,medellin,2,bajo
2725,2725,101382,politecnico grancolombiano,administracion de empresas,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,antioquia,medellin,2,bajo
2725,2725,101387,politecnico grancolombiano,economia,ciencias sociales periodismo e informacion,bogota d c,bogota d c,3182,economia,ciencias sociales periodismo e informacion,antioquia,medellin,"2,2",bajo
2810,2810,101394,corporacion universidad de la costa cuc,derecho,administracion de empresas y derecho,bolivar,cartagena de indias,7227,derecho,administracion de empresas y derecho,antioquia,medellin,"2,2",bajo
9899,9899,101401,institucion universitaria de colombia universitaria de colombia,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,antioquia,medellin,"2,2",bajo
2745,2745,101408,fundacion universitaria compensar,profesional en finanzas y negocios internacionales,administracion de empresas y derecho,bogota d c,bogota d c,102816,finanzas,administracion de empresas y derecho,antioquia,medellin,"2,2",bajo
2745,2745,101411,fundacion universitaria compensar,profesional en mercadeo y publicidad,administracion de empresas y derecho,bogota d c,bogota d c,90979,mercadeo,administracion de empresas y derecho,antioquia,medellin,2,bajo
2745,2745,101415,fundacion universitaria compensar,administracion de empresas,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,antioquia,medellin,2,bajo
2829,2829,101421,corporacion universitaria minuto de dios uniminuto,comunicacion social periodismo,ciencias sociales periodismo e informacion,valle del cauca,santiago de cali,17691,comunicacion social,ciencias sociales periodismo e informacion,antioquia,medellin,"2,2",bajo
2719,2719,101429,universidad catolica luis amigo,derecho,administracion de empresas y derecho,cordoba,monteria,7227,derecho,administracion de empresas y derecho,antioquia,medellin,"1,6",bajo
2719,2719,101430,universidad catolica luis amigo,derecho,administracion de empresas y derecho,caldas,manizales,7227,derecho,administracion de empresas y derecho,antioquia,medellin,"1,6",bajo
