Codigo EAFIT,Nombre Programa EAFIT,ESTADO_PROGRAMA,CAMPO_AMPLIO,NIVEL_DE_FORMACIÓN
107709,ingenieria agronomica,activo,agropecuario silvicultura pesca y veterinaria,Universitario
1245,administracion de negocios,activo,administracion de empresas y derecho,Universitario
1250,ingenieria mecanica,activo,ingenieria industria y construccion,Universitario
90979,mercadeo,activo,administracion de empresas y derecho,Universitario
1246,contaduria publica,activo,administracion de empresas y derecho,Universitario
1247,ingenieria civil,activo,ingenieria industria y construccion,Universitario
1244,negocios internacionales,activo,administracion de empresas y derecho,Universitario
17691,comunicacion social,activo,ciencias sociales periodismo e informacion,Universitario
90978,psicologia,activo,ciencias sociales periodismo e informacion,Universitario
7227,derecho,activo,administracion de empresas y derecho,Universitario
3182,economia,activo,ciencias sociales periodismo e informacion,Universitario
102816,finanzas,activo,administracion de empresas y derecho,Universitario
1248,ingenieria de sistemas,activo,ingenieria industria y construccion,Universitario
19032,ciencias politicas,activo,ciencias sociales periodismo e informacion,Universitario
2923,ingenieria de procesos,activo,ingenieria industria y construccion,Universitario
101947,biologia,activo,ciencias naturales matematicas y estadistica,Universitario
1249,ingenieria de produccion,activo,ingenieria industria y construccion,Universitario
4959,musica,activo,arte y humanidades,Universitario
109454,diseno urbano y gestion del habitat,activo,ingenieria industria y construccion,Universitario
109150,diseno interactivo,activo,arte y humanidades,Universitario
1251,geologia,activo,ciencias naturales matematicas y estadistica,Universitario
7446,ingenieria de diseno de producto,activo,ingenieria industria y construccion,Universitario
17581,ingenieria fisica,activo,ingenieria industria y construccion,Universitario
11498,ingenieria matematica,activo,ingenieria industria y construccion,Universitario
106504,literatura,activo,arte y humanidades,Universitario
20820,doctorado en administracion,activo,administracion de empresas y derecho,Doctorado
117288,doctorado en artes y humanidades,activo,arte y humanidades,Doctorado
102140,doctorado en ciencias de la tierra,activo,ciencias naturales matematicas y estadistica,Doctorado
118215,doctorado en derecho,activo,administracion de empresas y derecho,Doctorado
104710,doctorado en economia,activo,ciencias sociales periodismo e informacion,Doctorado
101312,doctorado en humanidades,activo,ciencias sociales periodismo e informacion,Doctorado
52668,doctorado en ingenieria,activo,ingenieria industria y construccion,Doctorado
103604,doctorado en ingenieria matematica,activo,ciencias naturales matematicas y estadistica,Doctorado
102035,maestria en administracion mba,activo,administracion de empresas y derecho,Maestría
110244,maestria en administracion de instituciones de la salud,activo,administracion de empresas y derecho,Maestría
102967,maestria en administracion de riesgos,activo,administracion de empresas y derecho,Maestría
101293,maestria en administracion financiera,activo,administracion de empresas y derecho,Maestría
101869,maestria en administracion global mba,inactivo,administracion de empresas y derecho,Maestría
109910,maestria en agronegocios,activo,administracion de empresas y derecho,Maestría
117520,maestria en arquitectura organizacional,activo,administracion de empresas y derecho,Maestría
108453,maestria en biociencias,activo,ciencias naturales matematicas y estadistica,Maestría
118131,maestria en cafe y negocios,activo,administracion de empresas y derecho,Maestría
14912,maestria en ciencias de la administracion,activo,administracion de empresas y derecho,Maestría
9301,maestria en ciencias de la tierra,activo,ciencias naturales matematicas y estadistica,Maestría
107303,maestria en ciencias de los datos y analitica,activo,ciencias naturales matematicas y estadistica,Maestría
106726,maestria en ciencias en finanzas,activo,administracion de empresas y derecho,Maestría
107750,maestria en comunicacion politica,activo,ciencias sociales periodismo e informacion,Maestría
103484,maestria en comunicacion transmedia,activo,ciencias sociales periodismo e informacion,Maestría
102673,maestria en derecho,activo,administracion de empresas y derecho,Maestría
90703,maestria en derecho penal,activo,administracion de empresas y derecho,Maestría
101456,maestria en desarrollo humano organizacional,activo,administracion de empresas y derecho,Maestría
111456,maestria en direccion estrategica para el turismo,activo,administracion de empresas y derecho,Maestría
54129,maestria en economia,activo,ciencias sociales periodismo e informacion,Maestría
103602,maestria en economia aplicada,activo,ciencias sociales periodismo e informacion,Maestría
104806,maestria en escrituras creativas,activo,arte y humanidades,Maestría
108699,maestria en estudios del comportamiento,activo,ciencias sociales periodismo e informacion,Maestría
