CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,NOMBRE_INSTITUCIÓN,CÓDIGO_SNIES_DEL_PROGRAMA,NOMBRE_DEL_PROGRAMA,CAMPO_AMPLIO,departamentoIE,MunicipioIE,Codigo EAFIT,NombrePrograma EAFIT,CAMPO_AMPLIO_EAFIT,label,DepartamentoProgramaEAFIT,MunicipioProgramaEAFIT
1204,1204,universidad industrial de santander,105935,maestria en evaluacion y gerencia de proyectos,administracion de empresas y derecho,santander,bucaramanga,102161,maestria en gerencia de proyectos,Administración de Empresas y Derecho,1,,
1722,1722,universidad de manizales,106145,maestria en desarrollo sostenible y medio ambiente,ingenieria industria y construccion,huila,neiva,102721,maestria en procesos urbanos y ambientales,"Ingeniería, Industria y Construcción",1,,
1704,1704,universidad santo tomas,117269,maestria en gerencia de innovacion y competitividad,administracion de empresas y derecho,bogota d c,bogota d c,103100,maestria en gerencia de la innovacion y el conocimiento,Administración de Empresas y Derecho,1,,
1706,1706,universidad externado de colombia,101398,maestria en gerencia de la innovacion empresarial,administracion de empresas y derecho,bogota d c,bogota d c,103100,maestria en gerencia de la innovacion y el conocimiento,Administración de Empresas y Derecho,1,,
1119,1119,universidad de los llanos,54947,maestria en gestion ambiental sostenible,ingenieria industria y construccion,meta,villavicencio,111160,maestria en sostenibilidad,Administración de Empresas y Derecho,1,,
1101,1101,universidad nacional de colombia,55129,doctorado en ciencias humanas y sociales,ciencias sociales periodismo e informacion,bogota d c,bogota d c,101312,doctorado en humanidades,"Ciencias Sociales, Periodismo e Información",1,,
1101,1102,universidad nacional de colombia,55130,doctorado en ciencias humanas y sociales,ciencias sociales periodismo e informacion,antioquia,medellin,101312,doctorado en humanidades,"Ciencias Sociales, Periodismo e Información",1,,
1204,1204,universidad industrial de santander,110864,doctorado en ciencias sociales y humanas,ciencias sociales periodismo e informacion,santander,bucaramanga,101312,doctorado en humanidades,"Ciencias Sociales, Periodismo e Información",1,,
1701,1701,pontificia universidad javeriana,54104,doctorado en ciencias sociales y humanas,ciencias sociales periodismo e informacion,bogota d c,bogota d c,101312,doctorado en humanidades,"Ciencias Sociales, Periodismo e Información",1,,
1728,1728,universidad sergio arboleda,110086,doctorado en ciencias sociales y humanas,ciencias sociales periodismo e informacion,bogota d c,bogota d c,101312,doctorado en humanidades,"Ciencias Sociales, Periodismo e Información",1,,
1110,1110,universidad del cauca,105733,doctorado en ciencias humanas,arte y humanidades,cauca,popayan,101312,doctorado en humanidades,"Ciencias Sociales, Periodismo e Información",1,,
1203,1203,universidad del valle,20924,doctorado en humanidades,arte y humanidades,valle del cauca,santiago de cali,101312,doctorado en humanidades,"Ciencias Sociales, Periodismo e Información",1,,
