CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,NOMBRE_INSTITUCIÓN,CÓDIGO_SNIES_DEL_PROGRAMA,NOMBRE_DEL_PROGRAMA,CAMPO_AMPLIO,NIVEL_DE_FORMACIÓN,departamentoIE,MunicipioIE,Codigo EAFIT,NombrePrograma EAFIT,NIVEL_DE_FORMACIÓN EAFIT,CAMPO_AMPLIO_EAFIT,label,departamentoEAFIT,MunicipioEAFIT
1101,1101,universidad nacional de colombia,1,ingenieria agronomica,agropecuario silvicultura pesca y veterinaria,Universitario,bogota d c,bogota d c,107709,ingenieria agronomica,Universitario,agropecuario silvicultura pesca y veterinaria,1,antioquia,medellin
2713,2713,fundacion universitaria los libertadores,10009,administracion de empresas,administracion de empresas y derecho,Universitario,risaralda,pereira,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1213,1213,universidad del magdalena unimagdalena,10022,administracion de empresas,administracion de empresas y derecho,Universitario,magdalena,fundacion,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1301,1301,universidad distrital francisco jose de caldas,10036,ingenieria mecanica,ingenieria industria y construccion,Universitario,bogota d c,bogota d c,1250,ingenieria mecanica,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2713,2713,fundacion universitaria los libertadores,10038,publicidad y mercadeo,arte y humanidades,Universitario,quindio,armenia,90979,mercadeo,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1703,1703,universidad incca de colombia,10086,administracion de empresas,administracion de empresas y derecho,Universitario,narino,ipiales,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1218,1218,universidad de la guajira,10093,contaduria publica,administracion de empresas y derecho,Universitario,la guajira,riohacha,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1301,1301,universidad distrital francisco jose de caldas,10111,ingenieria civil,ingenieria industria y construccion,Universitario,bogota d c,bogota d c,1247,ingenieria civil,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2719,2719,universidad catolica luis amigo,101292,negocios internacionales,administracion de empresas y derecho,Universitario,caldas,manizales,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2731,2731,fundacion universitaria catolica lumen gentium unicatolica cali,101300,administracion de empresas,administracion de empresas y derecho,Universitario,valle del cauca,santiago de cali,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
9899,9899,institucion universitaria de colombia universitaria de colombia,101321,comunicacion social,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2725,2725,politecnico grancolombiano,101332,psicologia,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2728,2728,fundacion universitaria del area andina,101347,psicologia,ciencias sociales periodismo e informacion,Universitario,cesar,valledupar,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
9104,9104,escuela militar de cadetes general jose maria cordova,101351,relaciones internacionales,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
